"id_che300","id_autohome","match_type_ah","is_only_ah"
"1290",12194,1,1
"1291",12195,1,1
"1292",11342,1,1
"1293",12196,1,1
"1294",12192,1,1
"1295",NA,NA,NA
"1296",14668,1,1
"1297",14669,1,1
"1298",14670,1,1
"1299",14671,1,1
"1300",14672,1,1
"1301",14673,1,1
"1303",NA,NA,NA
"1304",NA,NA,NA
"1305",NA,NA,NA
"1306",8006,1,1
"1307",NA,NA,NA
"1308",8007,1,1
"1309",7606,1,1
"1310",10550,1,1
"1311",8008,1,1
"1312",7111,1,1
"1313",6729,1,1
"1314",6730,1,1
"1315",NA,NA,NA
"1316",3751,1,1
"1317",2657,1,1
"1318",NA,NA,NA
"1319",3752,1,1
"1320",2494,1,1
"1321",NA,NA,NA
"1322",1112,1,1
"1323",NA,NA,NA
"1324",NA,NA,NA
"1325",NA,NA,NA
"1326",NA,NA,NA
"1327",13949,1,1
"1328",13950,1,1
"1329",13951,1,1
"1330",13953,1,1
"1331",13952,1,1
"1332",13449,1,1
"1333",12950,1,1
"1335",13954,1,1
"1337",16578,1,1
"1338",10731,1,1
"1340",10127,1,1
"1341",NA,NA,NA
"1342",9526,1,1
"1344",5264,1,1
"1345",6553,1,1
"1346",5707,1,1
"1347",5708,1,1
"1348",5154,1,1
"1349",4833,1,1
"1350",4834,1,1
"1351",4629,1,1
"1352",4835,1,1
"1353",4836,1,1
"1354",4291,1,1
"1355",1677,1,1
"1356",1678,1,1
"1357",1679,1,1
"1358",NA,NA,NA
"1359",1680,3,1
"1360",1680,3,0
"1361",992,1,1
"1362",NA,NA,NA
"1363",NA,NA,NA
"1364",NA,NA,NA
"1365",NA,NA,NA
"1366",NA,NA,NA
"1368",NA,NA,NA
"1369",12917,1,1
"1370",NA,NA,NA
"1371",11846,1,1
"1372",5790,1,1
"1373",5791,1,1
"1375",8021,1,1
"1376",8029,1,1
"1377",5876,1,1
"1378",17479,1,1
"1379",17474,1,1
"1380",17478,1,1
"1381",17482,1,1
"1382",17480,1,1
"1383",17481,1,1
"1384",17485,1,1
"1385",17483,1,1
"1386",17484,1,1
"1387",17487,1,1
"1388",17314,1,1
"1389",17486,1,1
"1390",14638,1,1
"1391",16304,1,1
"1392",14639,1,1
"1393",16305,1,1
"1394",14640,1,1
"1395",16306,1,1
"1396",14641,1,1
"1397",16307,1,1
